Week 9;день 2;жим;45;3;6
Week 9;день 2;тяга средним хватом к подбородку;x;3;10
Week 9;день 3;жим;50;4;6
Week 9;день 3;присед;x;3;8
Week 9;день 3;жим;60;3;5
Week 9;день 3;жим;65;2;4
Week 9;день 3;разгибание рук на блоке стоя;x;3;10
Week 9;день 3;сгибание рук со штангой стоя ;x;3;10
Week 10;день 1;жим;60;3;4
Week 10;день 1;жим;65;3;3
Week 10;день 1;присед;x;3;8
Week 10;день 1;разгибание рук на блоке стоя;x;3;10
Week 10;день 1;сгибание рук со штангой стоя ;x;3;10
Week 10;день 2;жим;50;4;7
Week 10;день 2;подтягивания;x;3;5
Week 10;день 2;жим;55;4;5
Week 10;день 2;тяга средним хватом к подбородку;x;3;10
Week 10;день 3;жим;60;3;5
Week 10;день 3;присед;x;3;8
Week 10;день 3;жим;65;2;4
Week 10;день 3;жим;70;2;3
Week 10;день 3;разгибание рук на блоке стоя;x;3;10
Week 10;день 3;сгибание рук со штангой стоя ;x;3;10
Week 11;день 1;жим;45;4;7
Week 11;день 1;жим;50;3;6
Week 11;день 1;присед;x;3;8
Week 11;день 1;разгибание рук на блоке стоя;x;3;10
Week 11;день 1;сгибание рук со штангой стоя ;x;3;10
Week 11;день 2;жим;40;4;7
Week 11;день 2;подтягивания;x;3;5
Week 11;день 2;жим;45;4;6
Week 11;день 2;тяга средним хватом к подбородку;x;3;10
Week 11;день 3;жим;50;4;6
Week 11;день 3;присед;x;3;8
Week 11;день 3;жим;55;4;5
Week 11;день 3;жим;60;3;4
Week 11;день 3;разгибание рук на блоке стоя;x;3;10
Week 11;день 3;сгибание рук со штангой стоя ;x;3;10
Week 12;день 1;жим;60;3;5
Week 12;день 1;жим;65;2;4
Week 12;день 1;присед;x;3;8
Week 12;день 1;разгибание рук на блоке стоя;x;3;10
Week 12;день 1;сгибание рук со штангой стоя ;x;3;10
Week 12;день 2;жим;45;3;7
Week 12;день 2;подтягивания;x;3;5
Week 12;день 2;жим;50;2;6
Week 12;день 2;тяга средним хватом к подбородку;x;3;10
Week 12;день 3;жим;55;3;6
Week 12;день 3;присед;x;3;8
Week 12;день 3;жим;65;3;5
Week 12;день 3;жим;70;2;4
Week 12;день 3;разгибание рук на блоке стоя;x;3;10
Week 12;день 3;сгибание рук со штангой стоя ;x;3;10
Week 13;день 1;жим;70;3;4
Week 13;день 1;жим;75;2;3
Week 13;день 1;присед;x;3;8
Week 13;день 1;разгибание рук на блоке стоя;x;3;10
Week 13;день 1;сгибание рук со штангой стоя ;x;3;10
Week 13;день 2;жим;50;3;6
Week 13;день 2;подтягивания;x;3;5
Week 13;день 2;жим;60;3;5
Week 13;день 2;тяга средним хватом к подбородку;x;3;10
Week 13;день 3;жим;62,5;3;5
Week 13;день 3;присед;x;3;8
Week 13;день 3;жим;70;2;4
Week 13;день 3;жим;77,5;2;3
Week 13;день 3;разгибание рук на блоке стоя;x;3;10
Week 13;день 3;сгибание рук со штангой стоя ;x;3;10
Week 14;день 1;жим;50;4;7
Week 14;день 1;жим;55;3;6
Week 14;день 1;присед;x;3;8
Week 14;день 1;разгибание рук на блоке стоя;x;3;10
